name,lat,lon,country
BRISTOL,51.47,-2.63,United Kingdom
BROFJORDEN,58.38,11.42,Sweden
BROOKLYN,40.67,-74.02,United States
BROOME,-17.97,122.23,Australia
BROWNSVILLE,25.95,-97.4,United States
BRUGES,51.23,3.22,Belgium
BUCHANAN,5.87,-10.07,Liberia
BUCKSPORT,44.57,-68.78,United States
BUENAVENTURA,3.88,-77.07,Colombia
BUENOS AIRES,-34.6,-58.37,Argentina
BUFFALO,42.88,-78.88,United States
BULA,-3.1,130.5,Indonesia
WILLEMSTAD,12.12,-68.93,Curaçao
BUNBURY,-33.32,115.63,Australia
BUNDABERG,-24.87,152.35,Australia
BURNIE,-41.05,145.95,Australia
BUSHEHR,28.98,50.83,Iran
CABEDELO,-6.97,-34.83,Brazil
CABINDA,-5.53,12.2,Angola
CADIZ,36.53,-6.3,Spain
CAGAYAN DE ORO,8.5,124.67,Philippines
CAGLIARI,39.22,9.12,Italy
PHU MY,10.58,107.03,Vietnam
CAIRNS,-16.92,145.78,Australia
CALABAR,4.97,8.32,Nigeria
CALAIS,50.97,1.85,France
CALETA CLARENCIA,-52.9,-70.1,Chile
COMODORO RIVADAVIA,-45.87,-67.47,Argentina
CAM PHA,21.03,107.37,Vietnam
CAMDEN,39.95,-75.13,United States
CAMPANA,-34.15,-58.97,Argentina
CAMPBELTOWN,55.43,-5.6,United Kingdom
CANAKKALE,40.15,26.4,Turkey
GUANGZHOU,23.12,113.23,China
CAPE TOWN,-33.92,18.42,South Africa
CARDIFF,51.45,-3.17,United Kingdom
CARIPITO,10.15,-63.03,Venezuela
CARTAGENA,37.58,-0.98,Spain
CARTAGENA,10.42,-75.53,Colombia
CARTERET,40.58,-74.22,United States
CASABLANCA,33.6,-7.62,Morocco
CASTRIES,14.02,-61.0,Saint Lucia
CATANIA,37.5,15.1,Italy
PLYMOUTH,50.37,-4.15,United Kingdom
CEUTA,35.9,-5.32,Spain
CHALKIS,38.47,23.6,Greece
CHANGSHU,31.77,120.95,China
CHARCO AZUL,8.22,-82.87,Panama
CHARLESTON,32.78,-79.92,United States
CHARLESTOWN,17.13,-62.63,Saint Kitts and Nevis
CHARLOTTE AMALIE,18.35,-64.93,U.S. Virgin Islands
CHARLOTTETOWN,46.23,-63.13,Canada
CHEBOYGAN,45.65,-84.47,United States
YANTAI,37.55,121.45,China
CHERRY POINT,48.87,-122.75,United States
CHICAGO,41.88,-87.6,United States
ZHENJIANG,32.22,119.43,China
QINHUANGDAO,39.93,119.62,China
CHIRIQUI GRANDE,8.95,-82.12,Panama
CHRISTIANSTED,17.75,-64.7,U.S. Virgin Islands
CIENFUEGOS,22.15,-80.45,Cuba
CILACAP,-7.73,109.0,Indonesia
CIUDAD DEL CARMEN,18.63,-91.87,Mexico
SANTO DOMINGO,18.47,-69.88,Dominican Republic
CIVITAVECCHIA,42.1,11.78,Italy
CLEVELAND,41.5,-81.72,United States
GLASGOW,55.87,-4.28,United Kingdom
COATZACOALCOS,18.15,-94.42,Mexico
COLD BAY,55.2,-162.7,United States
COLOMBO,6.95,79.85,Sri Lanka
COLON,-32.22,-58.13,Argentina
CONAKRY,9.52,-13.72,Guinea
CONCEPCION DEL URUGUAY,-32.48,-58.23,Argentina
CONSTANTA,44.17,28.65,Romania
CONVENT,30.02,-90.83,United States
COOS BAY,43.37,-124.22,United States
COQUIMBO,-29.95,-71.33,Chile
CORDOVA,60.55,-145.77,United States
CORINTO,12.48,-87.17,Nicaragua
CORK,51.85,-8.27,Ireland
CORNER BROOK,48.95,-57.95,Canada
CORONEL,-37.03,-73.17,Chile
CORPACH,56.85,-5.12,United Kingdom
CORPUS CHRISTI,27.82,-97.4,United States
ENSENADA,31.87,-116.63,Mexico
COTONOU,6.35,2.43,Benin
COVENAS,9.42,-75.68,Colombia
NOVOROSSIYSK,44.72,37.78,Russia
